price,floor_area,latitude,longitude,bedroom,bathroom,type_house,code,inferred_price,difference,dif_per
549000.0,253,53.422157,-9.32378,5,4,house,,633772.44,84772.4375,0.1336763912512051
495000.0,165,53.231042,-6.648264,4,3,house,W91,495660.72,660.71875,0.001041877533980395
350000.0,131,52.314025,-6.46586,3,2,,Y35,309299.4,-40700.59375,-0.03152781759177175
450000.0,188,52.344317,-6.501705,4,3,house,Y35,445767.88,-4232.125,-0.003278322322400444
325000.0,73,53.333751,-6.289374,2,1,house,D08,369582.1,44582.09375,0.07030083813412709
550000.0,111,53.323395,-6.286309,4,1,house,D6W,534902.1,-15097.875,-0.011695235994520863
325000.0,192,52.348323,-7.32418,4,2,house,E32,360018.66,35018.65625,0.0552203962988142
238000.0,63,53.269305,-9.102227,2,2,apartment,H91,258045.77,20045.765625,0.031609868580426956
850000.0,149,53.44337476658967,-6.146544380145286,4,3,house,K36,751085.06,-98914.9375,-0.07662227548219742
625000.0,120,53.44337476658967,-6.146544380145286,3,3,house,K36,621844.7,-3155.3125,-0.002444193260572207
560000.0,221,54.264204,-8.600134,5,4,house,,421591.34,-138408.65625,-0.1072152139641019
649000.0,251,53.189988,-6.593541,4,3,house,W91,642497.06,-6502.9375,-0.0050373571592107836
430000.0,324,52.87945,-7.596707,6,4,house,R32,499351.22,69351.21875,0.10935890160493392
210000.0,115,54.275729,-8.50554,3,3,house,F91,257708.53,47708.53125,0.07523087075790813
240000.0,123,52.258039,-7.140997,5,2,house,X91,229080.31,-10919.6875,-0.008458695167294705
239000.0,98,52.931324,-9.338544,3,2,house,V95,274317.47,35317.46875,0.05569158926953362
450000.0,85,53.156022,-6.078773,3,2,house,A63,442372.22,-7627.78125,-0.0059086925698703515
245000.0,121,54.21306,-8.508681,4,3,house,F91,225503.97,-19496.03125,-0.015102170764117703
245000.0,114,52.813558,-8.974889,3,3,house,V95,253332.77,8332.765625,0.013139813726508602
900000.0,325,51.84604182010841,-8.354935938149197,5,4,house,T12,922359.1,22359.125,0.03525777044613824
125000.0,93,53.769863,-7.438065,3,1,house,,110632.055,-14367.9453125,-0.011129812055408944
235000.0,85,53.286148,-8.983807,3,3,house,H91,260967.14,25967.140625,0.04094719642646305
240000.0,74,53.28497,-9.018852,4,2,house,H91,253271.47,13271.46875,0.020927580961714612
220000.0,157,53.723724,-8.97776,5,1,,F12,208525.77,-11474.234375,-0.008888262677500548
520000.0,172,53.394309,-6.665098,4,3,house,W23,476783.94,-43216.0625,-0.03347636999852385
385000.0,114,53.65757898095529,-6.671450642533415,3,2,house,C15,339124.44,-45875.5625,-0.03553649303752293
620000.0,145,53.352721,-6.284763,5,2,house,D07,607424.44,-12575.5625,-0.009741382227720575
550000.0,111,53.261924,-9.081709,3,2,house,H91,451744.2,-98255.8125,-0.07611169883317308
245000.0,63,51.892252,-8.47781,2,3,house,T12,236086.44,-8913.5625,-0.006904694666594562
315000.0,163,53.095048,-7.906761,4,2,house,,292192.16,-22807.84375,-0.01766759329921646
900000.0,174,53.366728,-6.255979,4,3,house,D09,926386.8,26386.8125,0.04160897074148881
605000.0,130,53.358469,-6.373148,4,4,,D20,568213.1,-36786.875,-0.028496141650791233
365000.0,122,53.275845,-8.970839,4,3,house,H91,415205.78,50205.78125,0.07916874700515031
295000.0,116,51.931746,-8.462712,3,2,house,T23,301594.47,6594.46875,0.010398719332788388
950000.0,272,53.397037,-6.448056,4,3,house,D15,861787.75,-88212.25,-0.06833167458054018
395000.0,210,53.21257,-7.652275,3,1,house,,279367.03,-115632.96875,-0.08957252979497486
395000.0,152,53.5933,-6.725637,4,3,house,C15,408341.53,13341.53125,0.021038061472105
285000.0,111,53.29158554363275,-7.500182456737463,3,3,house,R35,257382.08,-27617.921875,-0.021393614267330014
275000.0,114,53.29158554363275,-7.500182456737463,3,2,house,R35,255853.36,-19146.640625,-0.014831523019739893
250000.0,105,53.29158554363275,-7.500182456737463,3,3,house,R35,244339.14,-5660.859375,-0.004385059905610615
350000.0,170,52.711569,-6.401613,4,3,,,378999.53,28999.53125,0.04572892793694352
275000.0,126,51.914094,-8.048153,4,3,house,P25,289563.75,14563.75,0.022965359974281004
180000.0,76,53.7317153,-6.8750567,2,2,house,A82,173817.75,-6182.25,-0.004788943657774793
1200000.0,165,53.323085,-6.258269,4,1,house,D06,1153811.5,-46188.5,-0.03577890317232901
1200000.0,178,53.47075,-6.471708,4,2,house,A85,1007481.9,-192518.125,-0.14912992093905048
240000.0,90,53.8981,-6.386325,3,2,house,A91,226914.12,-13085.875,-0.010136684554601273
239500.0,88,53.612287,-6.187575,3,1,house,K32,281793.66,42293.65625,0.06669223520108143
340000.0,78,53.443291,-6.201101,3,3,house,K67,314845.06,-25154.9375,-0.019485717724509088
565000.0,138,53.35993220079086,-6.507531852019383,4,3,house,W23,472218.9,-92781.09375,-0.07187082865873606
500000.0,118,53.359875972247096,-6.50850649853578,3,3,house,W23,445360.6,-54639.40625,-0.042325211375392115
595000.0,234,52.644036,-7.257072,5,4,house,R95,571545.9,-23454.125,-0.01816822082047915
695000.0,157,53.449811,-6.185505,4,4,house,K36,696939.7,1939.6875,0.0030586642640194448
295000.0,114,53.492998,-9.131804,4,1,house,,214249.42,-80750.578125,-0.06255165497567498
289000.0,159,53.474234,-9.096377,4,4,house,,312131.2,23131.1875,0.0364752242774072
195000.0,178,53.497099,-9.132372,4,3,house,,314445.9,119445.90625,0.18835246653406376
545000.0,412,53.193856,-8.785382,5,4,house,,554971.1,9971.125,0.015723318168298184
750000.0,250,53.348312,-6.674751,4,4,house,W91,715825.3,-34174.6875,-0.026472668196782807
495000.0,130,53.510025,-6.543883,4,3,house,A85,469702.38,-25297.625,-0.019596247450445234
150000.0,138,53.768167,-7.832106,4,1,house,,154602.61,4602.609375,0.007257786017878329
339000.0,125,51.82216362258271,-8.230661796460765,4,3,house,P25,316126.03,-22873.96875,-0.017718815572558746
309000.0,110,51.82216362258271,-8.230661796460765,3,3,house,P25,286741.7,-22258.3125,-0.0172419110323336
289000.0,92,51.82216362258271,-8.230661796460765,3,2,house,P25,250134.67,-38865.328125,-0.03010616953884994
495000.0,226,51.70610752357007,-8.884942234300496,4,3,house,P47,498052.2,3052.1875,0.004812948907149656
850000.0,149,53.44347216249679,-6.148025611706714,4,3,house,K36,786678.44,-63321.5625,-0.04905065229241218
320000.0,100,53.257264,-8.922598,3,4,house,H91,367636.97,47636.96875,0.07511802491990902
625000.0,120,53.44347216249679,-6.148025611706714,3,3,house,K36,651537.94,26537.9375,0.04184727749806684
350000.0,149,53.415924,-9.290911,4,4,,,340522.22,-9477.78125,-0.007341754281526038
750000.0,290,53.299645,-9.120468,5,4,house,H91,702799.44,-47200.5625,-0.0365628750742493
365000.0,210,53.403725,-9.048937,4,3,house,,417848.78,52848.78125,0.08333645425170594
625000.0,210,53.702817,-6.247423,4,3,house,A92,620730.25,-4269.75,-0.0033074676991037117
550000.0,222,53.285298,-9.068049,4,4,house,H91,521400.2,-28599.8125,-0.02215421419150362
395000.0,230,51.748699,-8.732959,4,4,house,P72,508398.66,113398.65625,0.1788166482795297
2500000.0,366,53.382463,-6.062202,6,4,house,D13,2427605.5,-72394.5,-0.056078803288895994
325000.0,196,54.208804,-8.382849,4,3,house,F91,324401.66,-598.34375,-0.00046349379380188223
180000.0,62,52.664214,-7.234523,2,1,house,R95,182388.31,2388.3125,0.0037660943296592567
370000.0,154,51.995722,-8.716585,5,4,house,P32,354899.34,-15100.65625,-0.011697390428513048
1100000.0,496,52.622942,-8.633775,4,5,house,V94,1063570.6,-36429.375,-0.028219212157863174
130000.0,61,53.713722,-6.341993,2,1,house,A92,185040.27,55040.265625,0.08679217324920914
345000.0,98,53.23746,-6.658913,3,3,house,W91,313543.62,-31456.375,-0.02436698735134224
435000.0,173,52.65921219756217,-7.2705129037048835,4,3,house,R95,485420.6,50420.59375,0.07950748162978168
410000.0,138,52.65921219756217,-7.2705129037048835,4,3,house,R95,358262.62,-51737.375,-0.04007721685084979
350000.0,127,53.03531025771622,-7.270790859646041,4,3,house,R32,270456.3,-79543.6875,-0.06161676376224596
330000.0,108,53.03531025771622,-7.270790859646041,3,3,house,R32,240657.36,-89342.640625,-0.06920730675562235
725000.0,153,53.12737070936103,-6.084506826874161,3,3,house,A63,815342.25,90342.25,0.14245934543894861
279950.0,95,53.95895216214487,-6.392855861972436,3,3,house,A91,230205.89,-49744.109375,-0.038533177581473066
224950.0,70,53.95895216214487,-6.392855861972436,2,2,house,A91,174892.38,-50057.625,-0.038776035548064046
740000.0,140,53.243961,-6.150204,4,3,house,D18,729035.25,-10964.75,-0.008493601839392803
635000.0,121,53.243152,-6.143295,3,2,house,D18,636879.3,1879.3125,0.0029634598277686703
555000.0,87,53.246234,-6.155611,2,2,house,D18,446574.75,-108425.25,-0.08398922937929498
580000.0,141,53.12815660102234,-6.08256378583016,4,3,house,A63,627080.0,47080.0,0.07423974921219807
495000.0,119,53.12815660102234,-6.08256378583016,3,3,house,A63,474701.38,-20298.625,-0.015723882317165896
875000.0,279,52.586433,-7.297343,4,4,house,R95,689794.7,-185205.3125,-0.1434652119670142
349950.0,81,53.338149,-6.312975,3,1,house,D08,370087.34,20137.34375,0.03175427675870485
485000.0,121,53.383126,-6.27786,3,2,house,D11,464034.06,-20965.9375,-0.016240801232549267
450000.0,94,53.370452,-6.250758,2,1,house,D09,491217.66,41217.65625,0.06499550686309662
295000.0,184,53.946783,-8.092089,3,1,house,N41,140788.16,-154211.84375,-0.1194568047361915
235000.0,169,54.225681,-8.404629,4,3,house,F91,288181.53,53181.53125,0.08386116275957253
140000.0,111,53.760567,-8.556549,3,1,house,,143448.05,3448.046875,0.005437173646387071
420000.0,251,52.21956,-6.51365,5,4,house,Y35,451502.44,31502.4375,0.04967572344037689
295000.0,92,51.703118,-8.533707,3,2,house,P17,327176.47,32176.46875,0.05073859325688463
395000.0,128,53.454745,-6.232888,3,2,house,K67,460871.1,65871.09375,0.1038711444420813
675000.0,158,53.291755,-6.233555,4,2,house,D14,915387.2,240387.1875,0.37906296758338226
345000.0,130,51.922573,-8.386337,4,3,house,T45,316396.72,-28603.28125,-0.022156901182212974
375000.0,123,51.94105806529302,-8.400895797602345,3,2,house,T45,316230.2,-58769.8125,-0.045524739510775
350000.0,108,51.94105806529302,-8.400895797602345,3,2,house,T45,289208.38,-60791.625,-0.047090891987476007
280000.0,101,53.00821738601758,-6.815975010141557,3,3,house,,235549.98,-44450.015625,-0.034432224580910546
240000.0,119,51.935181866436665,-10.235626647837137,4,3,house,,262091.66,22091.65625,0.034836002966909266
220000.0,120,51.935181866436665,-10.235626647837137,3,3,house,,259729.08,39729.078125,0.06264819023856891
270000.0,124,52.05408715355304,-9.464114008683936,3,2,house,V93,252903.23,-17096.765625,-0.013243632546128974
270000.0,122,52.05408715355304,-9.464114008683936,3,1,house,V93,231356.3,-38643.703125,-0.02993449261893335
685000.0,172,53.34792790249625,-6.345854017963063,3,3,house,D20,637254.56,-47745.4375,-0.03698495047972951
345000.0,141,51.932833887023776,-8.051393088882037,4,3,house,P25,310875.06,-34124.9375,-0.026434130456158552
345000.0,141,51.932833887023776,-8.051393088882037,4,3,house,P25,310875.06,-34124.9375,-0.026434130456158552
315000.0,102,53.73537529218743,-6.884168678808862,3,3,house,A82,213604.17,-101395.828125,-0.07854404270678826
265000.0,82,53.73537529218743,-6.884168678808862,2,3,house,A82,177109.52,-87890.484375,-0.06808242593334317
250000.0,87,51.94002018848553,-7.999571909196248,2,2,house,P36,224508.19,-25491.8125,-0.019746670515922066
