Breakdown of Local Authority Mortgage Data by area,,,,,,,,,,,,,,,,,Breakdown of Local Authority Mortgage Data by area,,,,,,,,,,,,,,,,,,,,,,,
Year,2014,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Q1,,,,Q2,,,,Q3,,,,Q4,,,,Q1,,,,,,Q2,,,,,,Q3,,,,,,Q4,,,,,
Local Authority,Total Loan book,,Loans in arrears over 90 days,,Total Loan book,,Loans in arrears over 90 days,,Total Loan book,,Loans in arrears over 90 days,,Total Loan book,,Loans in arrears over 90 days,,Total Loan book,,Loans in arrears over 90 days,,Loans in arrears over 720 days,,Total Loan book,,Loans in arrears over 90 days,,Loans in arrears over 720 days,,Total Loan book,,Loans in arrears over 90 days,,Loans in arrears over 720 days,,Total Loan book,,Loans in arrears over 90 days,,Loans in arrears over 720 days,
,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €
Carlow,223,"9,519,731",55,"3,148,751",214,"9,458,725",47,"2,715,611",212,"9,430,146",44,"2,463,235",212,"9,413,140",35,"2,094,001",210,"9,412,028",36,"2,185,294",11,"728,282",210,"9,742,346",37,"2,386,732",9,"665,249",212,"9,993,896",31,"1,906,669",5,"403,744",209,"10,063,161",27,"1,963,633",4,"317,639"
Cavan,210,"4,875,916",69,"1,717,297",204,"4,794,485",63,"1,523,826",200,"4,710,073",63,"1,533,547",198,"4,548,153",60,"1,681,576",194,"4,358,309",58,"1,571,993",10,"593,196",190,"4,217,603",53,"1,418,957",8,"542,270",190,"4,296,651",60,"1,527,336",8,"539,912",186,"4,370,150",54,"1,369,987",10,"502,330"
Clare,356,"9,682,417",156,"3,853,241",348,"9,447,746",161,"3,743,802",340,"9,209,158",150,"3,759,352",330,"8,880,528",158,"3,525,482",327,"8,696,358",158,"3,411,036",59,"1,456,105",323,"8,538,471",149,"3,374,533",60,"1,499,739",314,"8,358,605",144,"3,041,248",58,"1,447,881",306,"8,222,509",146,"2,983,338",63,"1,477,563"
Cork,"1,231","66,451,017",390,"22,577,647","1,221","65,756,624",389,"22,723,874","1,260","65,550,016",386,"22,929,384","1,251","64,068,024",392,"23,469,351","1,247","63,544,809",379,"23,075,632",208,"14,368,484","1,236","62,069,216",378,"23,244,384",208,"14,361,962","1,223","62,047,439",355,"22,083,032",211,"14,443,280","1,204","65,059,279",344,"25,838,997",206,"18,078,971"
Donegal,633,"23,457,394",174,"6,203,902",613,"23,071,204",177,"6,505,709",594,"22,712,737",170,"6,562,726",588,"22,453,274",168,"6,485,447",576,"22,126,360",169,"6,240,717",71,"2,659,241",568,"21,761,313",163,"7,708,960",67,"3,873,990",557,"21,446,000",165,"7,681,315",66,"3,903,776",550,"21,134,557",153,"7,180,290",67,"4,038,178"
DL/Rathdown,307,"16,686,481",87,"6,602,964",290,"16,143,327",80,"5,980,625",281,"15,989,369",76,"6,107,715",274,"15,633,263",76,"6,340,304",262,"15,638,656",74,"6,129,123",42,"3,561,624",259,"16,044,982",66,"5,469,347",39,"3,301,916",250,"15,950,140",66,"5,217,077",39,"3,289,116",247,"16,191,757",62,"5,177,806",34,"3,262,663"
Fingal,"1,771","158,204,474",251,"22,236,875","1,752","154,993,879",253,"22,628,288","1,721","151,799,631",244,"22,157,816","1,700","148,354,500",238,"21,414,092","1,689","145,918,000",233,"20,929,502",64,"4,573,936","1,679","143,574,621",204,"18,686,609",61,"4,797,998","1,673","141,770,207",192,"17,442,687",54,"4,757,047","1,660","138,962,276",183,"16,679,388",53,"4,566,897"
Galway,664,"25,263,914",182,"6,627,937",658,"24,984,817",172,"6,181,194",648,"24,487,697",190,"6,908,575",628,"24,091,747",183,"6,794,441",620,"23,520,610",180,"6,857,070",37,"1,145,488",612,"23,307,316",164,"6,072,934",43,"1,514,506",604,"22,894,280",168,"6,351,274",45,"1,488,759",593,"22,350,184",162,"5,987,847",49,"1,667,602"
Kerry,521,"11,675,646",97,"2,662,033",526,"11,461,392",103,"2,624,555",524,"11,266,808",105,"2,516,923",518,"11,157,433",108,"2,691,494",510,"10,986,710",103,"2,624,901",25,"645,349",504,"10,673,360",101,"2,457,820",28,"704,048",497,"10,384,228",102,"2,462,546",30,"914,765",491,"10,256,249",87,"2,223,503",26,"824,344"
Kildare,634,"28,650,030",354,"16,392,750",613,"28,451,364",349,"15,769,968",609,"28,102,278",354,"16,140,930",584,"27,431,943",329,"15,830,818",580,"27,263,980",328,"15,598,721",151,"6,981,004",568,"27,122,704",319,"14,931,256",151,"7,041,295",561,"26,788,139",309,"14,558,802",144,"6,790,353",560,"26,860,739",302,"14,293,341",144,"6,641,642"
Kilkenny,642,"29,853,529",166,"6,670,293",665,"29,284,973",169,"7,100,390",653,"29,411,540",149,"6,601,359",645,"29,424,082",137,"5,660,938",655,"30,293,677",139,"5,853,240",43,"1,333,536",659,"31,255,480",126,"5,114,128",44,"1,163,782",649,"31,369,191",123,"4,649,234",43,"1,152,643",645,"31,690,432",117,"4,635,027",38,"895,198"
Laois,662,"52,194,704",293,"19,162,845",663,"52,039,673",302,"19,143,604",661,"51,579,520",325,"20,370,475",632,"51,050,095",311,"20,248,357",649,"52,556,802",301,"21,974,018",119,"6,552,299",650,"52,659,000",304,"22,327,341",127,"6,977,910",645,"51,986,387",297,"22,084,952",130,"7,704,932",635,"51,491,970",278,"21,143,394",100,"7,214,368"
Leitrim,74,"1,950,069",28,"442,345",73,"2,002,495",29,"436,103",72,"1,968,779",30,"430,011",73,"1,946,284",28,"420,046",71,"1,954,273",26,"405,705",13,"82,634",68,"1,875,728",26,"396,016",13,"81,592",66,"1,841,490",25,"386,949",13,"79,460",72,"1,913,564",19,"459,443",10,"152,846"
Limerick City and County,648,"16,880,267",274,"4,534,172",751,"16,881,829",265,"4,357,082",740,"16,583,753",261,"4,312,801",733,"16,358,692",240,"4,146,887",729,"16,154,832",234,"4,101,610",87,"1,206,013",722,"15,927,588",238,"4,246,566",90,"1,238,277",718,"15,584,061",224,"4,058,428",89,"1,189,027",706,"14,639,836",217,"3,919,190",87,"1,204,571"
