neighborhood,postal_town,locality,administrative_area_level_1,country,postal_code
Whitehall,Dublin 9,,County Dublin,Ireland,D09 E722
Montenotte,,Cork,County Cork,Ireland,
Abbeyquarter South,,Sligo,County Sligo,Ireland,F91 YR7R
Clonroad More,,Ennis,County Clare,Ireland,
Kilminchy,,Portlaoise,County Laois,Ireland,R32 EW25
Parslickstown,,Clonee,County Dublin,Ireland,D15 DK72
Castleknock,Dublin 15,,County Dublin,Ireland,D15 HDK4
Letfordspark,,Boyle,County Roscommon,Ireland,F52 HW63
Robswalls,,Malahide,County Dublin,Ireland,K36 F793
Tallaght,Dublin 24,,County Dublin,Ireland,D24 E0YT
,,Galway,County Galway,Ireland,H91 EWR6
Tullyvarraga,,Shannon,County Clare,Ireland,V14 AC96
,,Ballincollig,County Cork,Ireland,P31 DY72
Oran More,,Oranmore,County Galway,Ireland,H91 R9P5
Killoughter,,Ballylennon,County Cavan,Ireland,
Kilmacow,,Pill Road,County Kilkenny,Ireland,
Dún Laoghaire,,Dublin,County Dublin,Ireland,A96 N251
Drumdowney Lower,,Drumdowney,County Kilkenny,Ireland,
Parkstown,,Horse and Jockey,County Tipperary,Ireland,
Sainthelens,,Portmarnock,County Dublin,Ireland,D13 ET28
Ballinahinch,,Ashford,County Wicklow,Ireland,
,Dublin 4,,County Dublin,Ireland,
Townparks,,Wexford,County Wexford,Ireland,Y35 X6N2
Donacarney Little,,Donacarney,County Meath,Ireland,A92 HYK0
Lackenfune,,Dungarvan,County Waterford,Ireland,X35 TX46
Lifford,,Ennis,County Clare,Ireland,V95 E3YX
Kilmalogue,,Portarlington,County Offaly,Ireland,R32 EP95
Rathglass,,Sheeanmore,County Sligo,Ireland,
,Dublin 12,,County Dublin,Ireland,D12 KV96
,,Dublin,County Dublin,Ireland,
Rathmines,,Clonskeagh,County Dublin,Ireland,D06 V6R2
Curryclogh,Bandon,,County Cork,Ireland,P72 XP49
Newtownpark,,Blackrock,County Dublin,Ireland,A94 A525
Ballyashea,,Ballyoshea,County Limerick,Ireland,
Stillorgan,,Dublin,County Dublin,Ireland,A94 Y190
Banagher,,Piltown,County Kilkenny,Ireland,E32 AW29
Breandrum,,Fort Valley,County Cavan,Ireland,
,,Pallasgreen,County Limerick,Ireland,
Millbrook,,,County Donegal,Ireland,F92 X921
,,Greystones,County Wicklow,Ireland,
,,Greystones,County Wicklow,Ireland,
Cornerpark,,Newcastle,County Dublin,Ireland,D22 YT67
Gortaloman,,Loughinwadda,County Galway,Ireland,
Booterstown,,Blackrock,County Dublin,Ireland,A94 DW77
Ballalease West,,Donabate,County Dublin,Ireland,K36 YN77
Clontarf,Dublin 3,,County Dublin,Ireland,D03 PY56
,,Myrtleville,County Limerick,Ireland,V94 VXV7
,,Dublin,County Dublin,Ireland,
,,Ballybrack,County Dublin,Ireland,
Ballycasheen,,Killarney,County Kerry,Ireland,
Ballintemple,,Galway,County Galway,Ireland,H91 Y7HW
Ballybough,Dublin 9,,County Dublin,Ireland,D09 YF30
Ballybough,Dublin 3,,County Dublin,Ireland,D03 DY99
Ratoath,,Ratoath,County Meath,Ireland,A85 P400
Shannonpark,,Carrigaline,County Cork,Ireland,
,,Galway,County Galway,Ireland,
Haynestown,,Clermont Business Park,County Louth,Ireland,
Haynestown,,Clermont Business Park,County Louth,Ireland,
Haynestown,,Clermont Business Park,County Louth,Ireland,
Ardan,,Eiscir Meadows,County Offaly,Ireland,R35 N6T8
Ardan,,Eiscir Meadows,County Offaly,Ireland,R35 N6T8
Ardan,,Eiscir Meadows,County Offaly,Ireland,R35 N6T8
Blackcastle,,Navan,County Meath,Ireland,C15 DRX9
Ballisk Common,,Donabate,County Dublin,Ireland,K36 D924
Carrickhill,,Portmarnock,County Dublin,Ireland,D13 KX80
Riverstown,,Glanmire,County Cork,Ireland,T45 DC94
,,Dublin,County Dublin,Ireland,D06 YE04
Dunbeggan,,Aghnacliff,County Longford,Ireland,
Newtownrathganley,,Rathganley,County Meath,Ireland,
,Dublin 6W,,County Dublin,Ireland,D6W EY61
Rosbercon,,Castlehyde Park,County Kilkenny,Ireland,Y34 K208
Forgelands,,,County Wexford,Ireland,Y21 W2P2
Forgelands,,,County Wexford,Ireland,Y21 W2P2
,,Ennis,County Clare,Ireland,V95 WD2C
Garranedarragh,,Cork,County Cork,Ireland,
Dernahelty Beg,,Comeen,County Leitrim,Ireland,
Knocknaskeagh,,Ballinvoley,County Mayo,Ireland,
,,Ennis,County Clare,Ireland,
Templeogue Village,Dublin 6W,,County Dublin,Ireland,D6W HF89
,,Kilkenny,County Kilkenny,Ireland,R95 T854
Glebe,,Ballivor,County Meath,Ireland,C15 C7D7
Park,,,County Wexford,Ireland,
Castleland,,Laraheen Hill,County Wexford,Ireland,
Neworchard,,Kilkenny,County Kilkenny,Ireland,R95 EK06
Neworchard,,Kilkenny,County Kilkenny,Ireland,R95 EK06
Mountievers,,Sixmilebridge,County Clare,Ireland,V95 E2Y7
Ranelagh,Dublin 4,,County Dublin,Ireland,D04 E8X9
,,Dublin,County Dublin,Ireland,D17 DX84
Knockroe,,,County Tipperary,Ireland,E41 HV02
Cartronabree,,Shore Road,County Sligo,Ireland,
Kye,,Creeve,County Roscommon,Ireland,
Rathedmond,,Sligo,County Sligo,Ireland,F91 KW50
Knoxspark,,Ballysadare,County Sligo,Ireland,F91 E2Y7
Gortaroe,,Cill Cholgáin,Contae na Gaillimhe,Ireland,H91 EA8H
Rathmines,Dublin 6,,County Dublin,Ireland,
Ballynabola,,Newbawn,County Wexford,Ireland,Y35 XV08
Douglas,,Cork,County Cork,Ireland,T12 TF4W
Grace Park,Dublin 9,,County Dublin,Ireland,D09 TF30
Garranebane,,Cahersiveen,County Kerry,Ireland,V23 YE39
Garranebane,,Cahersiveen,County Kerry,Ireland,V23 YE39
Lissyviggeen,,Upper Lissivigeen,County Kerry,Ireland,
Lissyviggeen,,Upper Lissivigeen,County Kerry,Ireland,
Mulgannon,,Wexford,County Wexford,Ireland,Y35 E6K5
Mulgannon,,Wexford,County Wexford,Ireland,Y35 E6K5
,,,County Kildare,Ireland,
,,,County Kildare,Ireland,
,,Dromahair,County Leitrim,Ireland,F91 F2D6
,,Dromahair,County Leitrim,Ireland,F91 V3K1
Rathquarter,,Sligo,County Sligo,Ireland,F91 H968
Talbotsinch,,Kilkenny,County Kilkenny,Ireland,R95 R9P2
Bargy,,Mounteaton,County Wexford,Ireland,
Balrickard,,Headford,County Galway,Ireland,H91 R7T8
Farraneen,,Ballyfeard,County Cork,Ireland,
Annfield,,Dunbell,County Kilkenny,Ireland,
Glebe,,Grangebellew,County Louth,Ireland,A92 V8N7
Curryhills,,Prosperous,County Kildare,Ireland,W91 TYY9
Clashdermot East,,Killeagh,County Cork,Ireland,
Clashdermot East,,Killeagh,County Cork,Ireland,
Ballymooney,,Portlaoise,County Laois,Ireland,R32 V6HE
Ballymooney,,Portlaoise,County Laois,Ireland,R32 V6HE
Botanic,Dublin 9,,County Dublin,Ireland,D09 Y3C1
Enniscorthy,,Enniscorthy,County Wexford,Ireland,Y21 P2H3
Stillorgan,,Dublin,County Dublin,Ireland,A94 HY92
Breaghwy,,Breaffy,County Mayo,Ireland,
Carrick,,Dogstown,County Kildare,Ireland,
Claureen,,Ennis,County Clare,Ireland,V95 A8P0
Glen,,Derryvane,County Roscommon,Ireland,
Botanic,Dublin 9,,County Dublin,Ireland,D09 K3K6
,,Dublin,County Dublin,Ireland,
Malahide Demesne,,Malahide,County Dublin,Ireland,K36 NX83
Malahide,,Malahide,County Dublin,Ireland,K36 EY00
Faithlegg,,Faithlegge Mews,County Waterford,Ireland,X91 E263
,,Dromahair,County Leitrim,Ireland,F91 D7P4
Gouldavoher,,Limerick,County Limerick,Ireland,V94 T9HW
Gouldavoher,,Limerick,County Limerick,Ireland,V94 T9HW
Deansgrange,Dublin 18,,County Dublin,Ireland,D18 V3W6
Deansgrange,Dublin 18,,County Dublin,Ireland,D18 V3W6
Rathmines,Dublin 6,,County Dublin,Ireland,D06 HY00
Rathmines,Dublin 6,,County Dublin,Ireland,D06 HY00
Ballycarn,,Enfield,County Meath,Ireland,A83 YX85
,,Gracedieu,County Waterford,Ireland,X91 RRH3
,,Cabinteely,County Dublin,Ireland,D18 KW8K
,,Cabinteely,County Dublin,Ireland,D18 KW8K
Kill East,,Kill,County Kildare,Ireland,
Kill East,,Kill,County Kildare,Ireland,
Mountanville,Dublin 14,,County Dublin,Ireland,D14 V6X9
Mountanville,Dublin 14,,County Dublin,Ireland,D14 V6X9
Clonee,,Clonee,County Meath,Ireland,
Stadalt,,Stamullin,County Meath,Ireland,K32 RK11
Stadalt,,Stamullin,County Meath,Ireland,K32 RK11
,,Dromahair,County Leitrim,Ireland,F91 F5C7
,,Dromahair,County Leitrim,Ireland,F91 K6P0
Drumnigh,,Portmarnock,County Dublin,Ireland,D13 E22D
Drumnigh,,Portmarnock,County Dublin,Ireland,D13 E22D
Poulacurry South,,Glanmire,County Cork,Ireland,T45 NA03
,,Ovens,County Cork,Ireland,P31 A499
,,Ennis,County Clare,Ireland,V95 C5H6
,,Carrigaline,County Cork,Ireland,
Toome,,Antley Industrial Estate,County Longford,Ireland,
,,Tramore,County Waterford,Ireland,
Attycristora,,Lahinch,County Clare,Ireland,
Mount Merrion,,Blackrock,County Dublin,Ireland,A94 A2T6
Clonard Little,,Wexford,County Wexford,Ireland,Y35 T2C6
Bettyville,,Ballyboughal,County Dublin,Ireland,
Blackcastle,,An Uaimh,Contae na Mí,Ireland,C15 CXD1
Urney,,Canal Bank,County Offaly,Ireland,
Roachpond,,Kilkenny,County Kilkenny,Ireland,R95 H9DR
,,Kilkenny,County Kilkenny,Ireland,R95 W2WP
Talbotsinch,,Raheen Na Gon,County Kilkenny,Ireland,
Demesne,,,County Roscommon,Ireland,
Aghnaskerry,,Cavan,County Cavan,Ireland,H12 VX22
Ballinglanna,,,County Cork,Ireland,
Ballinglanna,,,County Cork,Ireland,
Ballygannon,,Rathdrum,County Wicklow,Ireland,A67 Y974
Ballygannon,,Rathdrum,County Wicklow,Ireland,A67 Y974
Stradbally East,,The Milestone,County Galway,Ireland,
