price,floor_area,bedroom,bathroom,place,type_house,longitude,latitude,city_district
549000.0,253,5,4,,house,-9.32378,53.422157,Oughterard ED
495000.0,165,4,3,Naas,house,-6.648264,53.231042,Naas Urban ED
350000.0,131,3,2,Wexford,,-6.46586,52.314025,
450000.0,188,4,3,Wexford,house,-6.501705,52.344317,Wexford Rural ED
325000.0,73,2,1,Dublin 8,house,-6.289374,53.333751,
550000.0,111,4,1,Dublin 6W,house,-6.286309,53.323395,Kimmage C ED
325000.0,192,4,2,Carrick on Suir,house,-7.32418,52.348323,Pilltown
238000.0,63,2,2,Galway,apartment,-9.102227,53.269305,Barna
850000.0,149,4,3,Malahide,house,-6.146544380145286,53.44337476658967,Malahide East ED
625000.0,120,3,3,Malahide,house,-6.146544380145286,53.44337476658967,Malahide East ED
560000.0,221,5,4,,house,-8.600134,54.264204,
649000.0,251,4,3,Naas,house,-6.593541,53.189988,Newtown ED
430000.0,324,6,4,Portlaoise,house,-7.596707,52.87945,Donaghmore ED
210000.0,115,3,3,Sligo,house,-8.50554,54.275729,Knockaree ED
240000.0,123,5,2,Waterford,house,-7.140997,52.258039,Cleaboy
239000.0,98,3,2,Miltown Malbay,house,-9.338544,52.931324,Ennistimon ED
450000.0,85,3,2,Greystones,house,-6.078773,53.156022,Greystones ED
245000.0,121,4,3,Sligo,house,-8.508681,54.21306,Collooney ED
245000.0,114,3,3,Miltown Malbay,house,-8.974889,52.813558,Clareabbey ED
900000.0,325,5,4,Cork city southside,house,-8.354935938149197,51.84604182010841,Ballincollig - Carrigaline
125000.0,93,3,1,,house,-7.438065,53.769863,Abbeylara ED
235000.0,85,3,3,Galway,house,-8.983807,53.286148,Ballybaan
240000.0,74,4,2,Galway,house,-9.018852,53.28497,Mervue
220000.0,157,5,1,Knock,,-8.97776,53.723724,Claremorris ED
520000.0,172,4,3,Maynooth,house,-6.665098,53.394309,Kilcock ED
385000.0,114,3,2,Trim,house,-6.671450642533415,53.65757898095529,Navan Rural ED
620000.0,145,5,2,Dublin 7,house,-6.284763,53.352721,Arran Quay E ED
550000.0,111,3,2,Galway,house,-9.081709,53.261924,Rockbarton
245000.0,63,2,3,Cork city southside,house,-8.47781,51.892252,Greenmount
315000.0,163,4,2,,house,-7.906761,53.095048,Birr Urban ED
