price,floor_area,latitude,longitude,bedroom,bathroom,type_house,place,predicted_price,residual,res_percentage
549000.0,253,53.422157,-9.32378,5,4,house,,462203.8146145278,-86796.1853854722,-0.15809869833419343
495000.0,165,53.231042,-6.648264,4,3,house,Naas,453967.6772472604,-41032.322752739594,-0.08289358131866585
350000.0,131,52.314025,-6.46586,3,2,,Wexford,306301.8972160094,-43698.10278399062,-0.12485172223997319
450000.0,188,52.344317,-6.501705,4,3,house,Wexford,418819.34603926376,-31180.653960736236,-0.06929034213496942
325000.0,73,53.333751,-6.289374,2,1,house,Dublin 8,357252.35636670183,32252.35636670183,0.09923801958985179
550000.0,111,53.323395,-6.286309,4,1,house,Dublin 6W,549154.8967738082,-845.1032261918299,-0.0015365513203487817
325000.0,192,52.348323,-7.32418,4,2,house,Carrick on Suir,355629.95876188314,30629.958761883143,0.09424602695964043
238000.0,63,53.269305,-9.102227,2,2,apartment,Galway,235897.11511365342,-2102.884886346583,-0.008835650782968836
850000.0,149,53.44337476658967,-6.146544380145286,4,3,house,Malahide,727483.7176739837,-122516.28232601634,-0.14413680273648982
625000.0,120,53.44337476658967,-6.146544380145286,3,3,house,Malahide,605755.9025546131,-19244.097445386928,-0.030790555912619085
560000.0,221,54.264204,-8.600134,5,4,house,,332287.06243841,-227712.93756159,-0.4066302456456964
649000.0,251,53.189988,-6.593541,4,3,house,Naas,591818.6843802714,-57181.315619728644,-0.08810680372839545
430000.0,324,52.87945,-7.596707,6,4,house,Portlaoise,577940.2988692449,147940.29886924487,0.3440472066726625
210000.0,115,54.275729,-8.50554,3,3,house,Sligo,224358.26101944473,14358.261019444733,0.0683726715211654
240000.0,123,52.258039,-7.140997,5,2,house,Waterford,259118.9906292427,19118.990629242704,0.07966246095517793
239000.0,98,52.931324,-9.338544,3,2,house,Miltown Malbay,210567.51730953302,-28432.482690466975,-0.11896436272161914
450000.0,85,53.156022,-6.078773,3,2,house,Greystones,392999.1573731244,-57000.842626875616,-0.1266685391708347
245000.0,121,54.21306,-8.508681,4,3,house,Sligo,225782.98815975647,-19217.011840243533,-0.07843678302140217
245000.0,114,52.813558,-8.974889,3,3,house,Miltown Malbay,242233.18480173536,-2766.8151982646377,-0.011293123258223011
900000.0,325,51.84604182010841,-8.354935938149197,5,4,house,Cork city southside,954514.4148187672,54514.414818767225,0.06057157202085247
125000.0,93,53.769863,-7.438065,3,1,house,,139466.78390015583,14466.783900155831,0.11573427120124664
235000.0,85,53.286148,-8.983807,3,3,house,Galway,260744.98912083812,25744.989120838116,0.10955314519505581
240000.0,74,53.28497,-9.018852,4,2,house,Galway,233247.4856130977,-6752.514386902301,-0.02813547661209292
220000.0,157,53.723724,-8.97776,5,1,,Knock,229911.59586903936,9911.59586903936,0.045052708495633455
520000.0,172,53.394309,-6.665098,4,3,house,Maynooth,496983.7691676445,-23016.230832355504,-0.04426198236991443
385000.0,114,53.65757898095529,-6.671450642533415,3,2,house,Trim,284184.01192712266,-100815.98807287734,-0.2618597092802009
620000.0,145,53.352721,-6.284763,5,2,house,Dublin 7,657597.0189194117,37597.0189194117,0.06064035309582532
550000.0,111,53.261924,-9.081709,3,2,house,Galway,351857.63878924615,-198142.36121075385,-0.360258838565007
245000.0,63,51.892252,-8.47781,2,3,house,Cork city southside,251941.63436461863,6941.634364618629,0.028333201488239302
