floor_area,views,latitude,longitude,bathroom,type_house,code,price,inferred_price,difference,dif_per
106,8383.0,54.800783,-7.594057,2,house,,89000.0,148797.2051234439,59797.20512344391,0.09114237892387107
92,3968.0,51.908676,-8.47738,1,house,T23,240000.0,266243.5620803309,26243.562080330914,0.0400002086134272
106,3206.0,53.159258,-6.909067,1,house,R51,200000.0,215846.1684663415,15846.168466341507,0.024152591878990066
70,4323.0,53.323053,-6.230623,1,apartment,D04,430000.0,476991.64949509775,46991.64949509775,0.0716242626339869
95,26511.0,52.76233985250253,-6.465975999391276,1,house,,180000.0,194272.90770357184,14272.907703571836,0.021754641535150426
133,3580.0,53.270818,-6.356587,3,house,D24,450000.0,463969.6443416675,13969.644341667474,0.021292410161838665
167,9939.0,52.16658502308894,-7.145211373663045,2,house,X91,470000.0,397932.22123296536,-72067.77876703464,-0.05342787293112856
74,3072.0,53.442976,-6.210237,2,apartment,K67,260000.0,273413.80631116504,13413.80631116504,0.020445206679806874
111,7301.0,52.527791,-7.167312,1,house,R95,275000.0,241102.53494821655,-33897.46505178345,-0.02513008568404053
118,1463.0,53.259254,-6.222985,3,apartment,D18,560000.0,503937.6752129815,-56062.32478701847,-0.04156213520368124
90,1387.0,53.629494,-9.226251,1,house,F31,150000.0,160865.85954032402,10865.859540324018,0.016561648416733465
73,3185.0,53.301048,-6.174142,1,apartment,A94,540000.0,454458.71553293493,-85541.28446706507,-0.06341653586474101
72,4154.0,51.894477,-8.473543,1,house,T12,285000.0,259003.29631484445,-25996.703685155546,-0.019272809636725296
80,7752.0,53.362621,-6.403226,1,house,D20,350000.0,314251.4102113049,-35748.5897886951,-0.026502427927903666
220,8009.0,53.79975,-7.203581,4,house,,260000.0,344296.9742817644,84296.97428176441,0.12848471356251068
105,1382.0,51.870306,-8.498849,2,house,T12,340000.0,339561.1911578374,-438.80884216260165,-0.0003253135237580432
82,4493.0,53.508519,-8.840872,1,house,H54,120000.0,132665.27350592607,12665.273505926074,0.019304299501432903
103,2377.0,53.263821,-7.467677,3,house,R35,229000.0,226994.35423696446,-2005.6457630355435,-0.0014868973181304083
98,18103.0,53.323845,-6.246815,2,house,D06,595000.0,690079.2224760983,95079.22247609834,0.14491892229434863
237,6681.0,52.455582,-7.008457,2,house,,695000.0,510909.46771256137,-184090.53228743863,-0.13647660209802512
73,8242.0,53.271798,-6.330782,2,apartment,D24,255000.0,273592.75171049713,18592.751710497134,0.02833891012359718
66,6259.0,52.026796,-7.844988,1,house,P36,200000.0,159063.18998903508,-40936.810010964924,-0.030348745596028313
50,4247.0,52.633696,-8.670248,1,apartment,V94,190000.0,148064.54602741016,-41935.453972589836,-0.031089096188178664
223,5767.0,53.281758,-7.50199,3,house,R35,595000.0,439648.78553408093,-155351.21446591907,-0.11517053929207906
102,1061.0,53.323473,-6.328949,2,house,D12,425000.0,432975.3919013408,7975.391901340801,0.01215602283146493
