price,floor_area,latitude,longitude,bedroom,bathroom,type_house,code,predicted_price,residual,res_percentage
549000.0,253,53.422157,-9.32378,5,4,house,,482455.6405348318,-66544.3594651682,-0.12121012653036103
495000.0,165,53.231042,-6.648264,4,3,house,W91,443012.14452629007,-51987.85547370993,-0.10502597065395947
350000.0,131,52.314025,-6.46586,3,2,,Y35,302416.48687022686,-47583.51312977314,-0.13595289465649468
450000.0,188,52.344317,-6.501705,4,3,house,Y35,425150.9998881078,-24849.00011189218,-0.05522000024864929
325000.0,73,53.333751,-6.289374,2,1,house,D08,353335.53973009804,28335.53973009804,0.08718627609260936
550000.0,111,53.323395,-6.286309,4,1,house,D6W,557456.1121783627,7456.112178362673,0.013556567597023042
325000.0,192,52.348323,-7.32418,4,2,house,E32,342408.1454087304,17408.145408730372,0.05356352433455499
238000.0,63,53.269305,-9.102227,2,2,apartment,H91,244153.98543389284,6153.985433892842,0.02585708165501194
850000.0,149,53.44337476658967,-6.146544380145286,4,3,house,K36,729074.5440526102,-120925.45594738983,-0.14226524229104687
625000.0,120,53.44337476658967,-6.146544380145286,3,3,house,K36,595826.5947920703,-29173.405207929667,-0.046677448332687464
560000.0,221,54.264204,-8.600134,5,4,house,,343424.48686242936,-216575.51313757064,-0.3867419877456619
649000.0,251,53.189988,-6.593541,4,3,house,W91,572469.976068133,-76530.02393186698,-0.11791991360842369
430000.0,324,52.87945,-7.596707,6,4,house,R32,560527.6391963952,130527.63919639518,0.30355264929394227
210000.0,115,54.275729,-8.50554,3,3,house,F91,213437.60649184653,3437.606491846527,0.016369554723078703
240000.0,123,52.258039,-7.140997,5,2,house,X91,239525.7533939923,-474.2466060077131,-0.001976027525032138
239000.0,98,52.931324,-9.338544,3,2,house,V95,196016.17490729192,-42983.82509270808,-0.17984864055526395
450000.0,85,53.156022,-6.078773,3,2,house,A63,385854.3363808797,-64145.663619120314,-0.1425459191536007
245000.0,121,54.21306,-8.508681,4,3,house,F91,208980.9486619575,-36019.05133804251,-0.1470165360736429
245000.0,114,52.813558,-8.974889,3,3,house,V95,247631.04404562473,2631.0440456247306,0.010738955288264207
900000.0,325,51.84604182010841,-8.354935938149197,5,4,house,T12,969975.2308740108,69975.23087401083,0.07775025652667869
125000.0,93,53.769863,-7.438065,3,1,house,,137570.26895114043,12570.268951140431,0.10056215160912345
235000.0,85,53.286148,-8.983807,3,3,house,H91,274771.088272742,39771.088272741996,0.16923867350102978
240000.0,74,53.28497,-9.018852,4,2,house,H91,260311.86249501293,20311.86249501293,0.08463276039588721
220000.0,157,53.723724,-8.97776,5,1,,F12,209701.65673621313,-10298.343263786868,-0.04681065119903122
520000.0,172,53.394309,-6.665098,4,3,house,W23,487509.06526327523,-32490.93473672477,-0.06248256680139379
385000.0,114,53.65757898095529,-6.671450642533415,3,2,house,C15,286978.2163326982,-98021.78366730182,-0.25460203549948524
620000.0,145,53.352721,-6.284763,5,2,house,D07,653135.912025731,33135.91202573106,0.053445019396340415
550000.0,111,53.261924,-9.081709,3,2,house,H91,322751.74709644885,-227248.25290355115,-0.41317864164282025
245000.0,63,51.892252,-8.47781,2,3,house,T12,250408.55351191323,5408.5535119132255,0.022075728620053983
315000.0,163,53.095048,-7.906761,4,2,house,,294668.30093068513,-20331.69906931487,-0.0645450764105234
900000.0,174,53.366728,-6.255979,4,3,house,D09,888184.3467725341,-11815.653227465926,-0.01312850358607325
605000.0,130,53.358469,-6.373148,4,4,,D20,498234.16296039196,-106765.83703960804,-0.17647245791670751
365000.0,122,53.275845,-8.970839,4,3,house,H91,340835.89565420727,-24164.10434579273,-0.06620302560491159
295000.0,116,51.931746,-8.462712,3,2,house,T23,274802.5926814322,-20197.4073185678,-0.06846578752056881
950000.0,272,53.397037,-6.448056,4,3,house,D15,773623.8546293397,-176376.14537066035,-0.18565910039016878
395000.0,210,53.21257,-7.652275,3,1,house,,319946.2564977225,-75053.74350227747,-0.19000947722095562
395000.0,152,53.5933,-6.725637,4,3,house,C15,377133.13572384324,-17866.86427615676,-0.04523256778773863
285000.0,111,53.29158554363275,-7.500182456737463,3,3,house,R35,268558.44403350924,-16441.555966490763,-0.057689670057862324
275000.0,114,53.29158554363275,-7.500182456737463,3,2,house,R35,267373.2239204676,-7626.776079532399,-0.027733731198299635
250000.0,105,53.29158554363275,-7.500182456737463,3,3,house,R35,260115.94441497698,10115.944414976984,0.04046377765990794
350000.0,170,52.711569,-6.401613,4,3,,,410249.3030862177,60249.303086217726,0.17214086596062209
275000.0,126,51.914094,-8.048153,4,3,house,P25,287304.7774412077,12304.777441207727,0.044744645240755374
180000.0,76,53.7317153,-6.8750567,2,2,house,A82,151920.0304102293,-28079.969589770713,-0.15599983105428175
1200000.0,165,53.323085,-6.258269,4,1,house,D06,1075786.8801152825,-124213.11988471751,-0.1035109332372646
1200000.0,178,53.47075,-6.471708,4,2,house,A85,691714.5748260836,-508285.4251739164,-0.42357118764493035
240000.0,90,53.8981,-6.386325,3,2,house,A91,204021.7022033383,-35978.2977966617,-0.1499095741527571
239500.0,88,53.612287,-6.187575,3,1,house,K32,277869.3168411854,38369.316841185384,0.16020591582958407
340000.0,78,53.443291,-6.201101,3,3,house,K67,317336.4581984433,-22663.541801556712,-0.06665747588693151
565000.0,138,53.35993220079086,-6.507531852019383,4,3,house,W23,470228.2895694086,-94771.71043059143,-0.16773754058511756
500000.0,118,53.359875972247096,-6.50850649853578,3,3,house,W23,421797.3757468152,-78202.62425318483,-0.15640524850636967
595000.0,234,52.644036,-7.257072,5,4,house,R95,559226.442142596,-35773.557857404,-0.06012362665109915
695000.0,157,53.449811,-6.185505,4,4,house,K36,704313.8917025418,9313.891702541849,0.01340128302524007
295000.0,114,53.492998,-9.131804,4,1,house,,189958.96013951636,-105041.03986048364,-0.3560713215609615
289000.0,159,53.474234,-9.096377,4,4,house,,319530.63249481283,30530.63249481283,0.1056423269716707
195000.0,178,53.497099,-9.132372,4,3,house,,311797.9496325219,116797.9496325219,0.598963844269343
545000.0,412,53.193856,-8.785382,5,4,house,,657788.9057932624,112788.90579326241,0.20695212072158242
750000.0,250,53.348312,-6.674751,4,4,house,W91,661502.4651379185,-88497.53486208152,-0.11799671314944203
495000.0,130,53.510025,-6.543883,4,3,house,A85,502866.97290866316,7866.972908663156,0.01589287456295587
150000.0,138,53.768167,-7.832106,4,1,house,,175430.84650732562,25430.846507325623,0.16953897671550416
339000.0,125,51.82216362258271,-8.230661796460765,4,3,house,P25,301725.88406331744,-37274.11593668256,-0.10995314435599575
309000.0,110,51.82216362258271,-8.230661796460765,3,3,house,P25,283195.30914403516,-25804.690855964844,-0.08351032639470823
289000.0,92,51.82216362258271,-8.230661796460765,3,2,house,P25,256894.9803784779,-32105.019621522108,-0.11109003329246404
495000.0,226,51.70610752357007,-8.884942234300496,4,3,house,P47,528358.0761679227,33358.0761679227,0.0673900528644903
